405,802,Aircel (Gujarat)
405,803,Aircel (Karnataka)
405,804,Aircel (Maharashtra)
405,805,Aircel (Mumbai)
405,806,Aircel (Rajasthan)
405,807,Aircel (Haryana)
405,808,Aircel (Madhya Pradesh)
405,809,Aircel (Kerala)
405,810,Aircel (Uttar Pradesh (East)
405,811,Aircel (Uttar Pradesh (West)
405,812,Aircel (Punjab)
405,813,Telenor Unitech (Haryana)
405,814,Telenor Unitech (Himachal Pradesh)
405,815,Telenor Unitech (Jammu & Kashmir)
405,816,Telenor Unitech (Punjab)
405,817,Telenor Unitech (Rajasthan)
405,818,Telenor Unitech (Uttar Pradesh (West)
405,819,Telenor Unitech (Andhra Pradesh)
405,820,Telenor Unitech (Karnataka)
405,821,Telenor Unitech (Kerala)
405,822,Telenor Unitech (Kolkata)
405,823,Videocon (Andhra Pradesh)
405,824,Videocon (Assam)
405,825,Videocon (Bihar)
405,826,Videocon (Delhi)
405,827,Videocon (Gujarat)
405,828,Videocon (Haryana)
405,829,Videocon (Himachal Pradesh)
405,830,Videocon (Jammu & Kashmir)
405,831,Videocon (Karnataka)
405,832,Videocon (Kerala)
405,833,Videocon (Kolkata)
405,834,Videocon (Madhya Pradesh)
405,835,Videocon (Maharashtra)
405,836,Videocon (Mumbai)
405,837,Videocon (North East)
405,838,Videocon (Orissa)
405,839,Videocon (Rajasthan)
405,840,Videocon (Tamilnadu)
405,841,Videocon (Uttar Pradesh (East)
405,842,Videocon (Uttar Pradesh (West)
405,843,Videocon (West Bengal)
405,844,Telenor Unitech (Delhi)
405,845,Idea (Assam)
405,846,Idea (Jammu & Kashmir)
405,848,Idea (Kolkata)
405,849,Idea (North East)
405,850,Idea (Orissa)
405,852,Idea (Tamilnadu)
405,853,Idea (West Bengal)
405,854,LOOP (Andhra Pradesh)
405,855,LOOP (Assam)
405,856,LOOP (Bihar)
405,857,LOOP (Delhi)
405,858,LOOP (Gujarat)
405,859,LOOP (Haryana)
405,860,LOOP (Himachal Pradesh)
405,861,LOOP (Jammu & Kashmir)
405,862,LOOP (Karnataka)
405,863,LOOP (Kerala)
405,864,LOOP (Kolkata)
405,865,LOOP (Madhya Pradesh)
405,866,LOOP (Maharashtra)
405,867,LOOP (North East)
405,868,LOOP (Orissa)
405,869,LOOP (Punjab)
405,870,LOOP (Rajasthan)
405,871,LOOP (Tamilnadu)
405,872,LOOP (Uttar Pradesh (East)
405,873,LOOP (Uttar Pradesh (West)
405,874,LOOP (West Bengal)
405,875,Telenor Unitech (Assam)
405,876,Telenor Unitech (Bihar)
405,877,Telenor Unitech (North East)
405,878,Telenor Unitech (Orissa)
405,879,Telenor Unitech (Uttar Pradesh (East)
405,880,Telenor Unitech (West Bengal)
405,881,S TEL (Assam)
405,882,S TEL (Bihar)
405,883,S TEL (Himachal Pradesh)
405,884,S TEL (Jammu & Kashmir)
405,885,S TEL (North East)
405,886,S TEL (Orissa)
405,887,Sistema Shyam (Andhra Pradesh)
405,888,Sistema Shyam (Assam)
405,889,Sistema Shyam (Bihar)
405,890,Sistema Shyam (Delhi)
405,891,Sistema Shyam (Gujarat)
405,892,Sistema Shyam (Haryana)
405,893,Sistema Shyam (Himachal Pradesh)
405,894,Sistema Shyam (Jammu & Kashmir)
405,895,Sistema Shyam (Karnataka)
405,896,Sistema Shyam (Kerala)
405,897,Sistema Shyam (Kolkata)
405,898,Sistema Shyam (Madhya Pradesh)
405,899,Sistema Shyam (Maharashtra)
405,900,Sistema Shyam (Mumbai)
405,901,Sistema Shyam (North East)
405,902,Sistema Shyam (Orissa)
405,903,Sistema Shyam (Punjab)
405,904,Sistema Shyam (Tamilnadu)
405,905,Sistema Shyam (Uttar Pradesh (East)
405,906,Sistema Shyam (Uttar Pradesh (West)
405,907,Sistema Shyam (West Bengal)
405,912,Etisalat DB (Andhra Pradesh)
405,913,Etisalat DB (Delhi)
405,914,Etisalat DB (Gujarat)
405,915,Etisalat DB (Haryana)
405,916,Etisalat DB (Karnataka)
405,917,Etisalat DB (Kerala)
405,918,Etisalat DB (Maharashtra)
405,919,Etisalat DB (Mumbai)
405,920,Etisalat DB (Punjab)
405,921,Etisalat DB (Rajasthan)
405,922,Etisalat DB (Tamilnadu)
405,923,Etisalat DB (Uttar Pradesh (East)
405,924,Etisalat DB (Uttar Pradesh (West)
405,925,Telenor Unitech (Tamilnadu)
405,926,Telenor Unitech (Mumbai)
405,927,Telenor Unitech (Gujarat)
405,928,Telenor Unitech (Madhya Pradesh)
405,929,Telenor Unitech (Maharashtra)
405,930,Etisalat DB (Bihar)
405,931,Etisalat DB (Madhya Pradesh)
405,932,Videocon (Punjab)
510,0,PT Pasifik Satelit Nusantara (ACeS)
510,1,PT Indonesian Satellite Corporation Tbk (INDOSAT)
510,3,PT Indosat TBK
510,7,PT Telkom
510,8,PT Natrindo Telepon Seluler
510,9,PT Smart Telecom
510,10,PT Telekomunikasi Selular
510,11,PT XL Axiata Tbk
510,20,Pt Telcom Indonesia TBK
510,21,PT Indonesian Satelite Corporation Tbk (Indosat)
510,27,PT Sampoerna Telekomunikasi Indonesia
510,28,PT Mobile-8 Telecom
510,89,PT Hutchison CP Telecommunications
510,99,PT Bakrie Telecom
901,1,ICO Satellite Management
901,3,Iridium
901,4,Globalstar
901,5,Thuraya RMSS Network
901,6,Thuraya Satellite Telecommunications Company
901,10,ACeS
901,11,Inmarsat
901,12,Maritime Communications Partner AS
901,13,Global Networks Switzerland Inc.
901,14,AeroMobile AS
901,15,OnAir Switzerland Sarl
901,17,Navitas
901,18,AT&T Mobility
901,21,Seanet Maritime Communications
432,11,Mobile Communications Company of Iran
432,14,KIFZO (Telecommunication Kish Co.)
432,19,Mobile Telecommunications Company of Esfahan
432,32,Rafsanjan Industrial Complex
432,35,Irancell Telecommunications Services Company
432,70,Telephone Communications Company of Iran
432,93,Iraphone
418,5,Asia Cell Telecommunications Com.
418,8,Korek Telecom Ltd
418,20,Zain Iraq
418,30,Zain Iraq
418,40,Korek Telecom Ltd
418,45,Mobitel Co. Ltd
418,92,Ommnea Wireless
